date,url
2007-04-03,/multimedia/sendung/sendung3342.html
2007-04-04,/multimedia/sendung/sendung3312.html
2007-04-05,/multimedia/sendung/sendung3282.html
2007-04-06,/multimedia/sendung/sendung3268.html
2007-04-07,/multimedia/sendung/sendung3248.html
2007-04-08,/multimedia/sendung/sendung3232.html
2007-04-09,/multimedia/sendung/sendung3216.html
2007-04-10,/multimedia/sendung/sendung3192.html
2007-04-11,/multimedia/sendung/sendung3170.html
2007-04-12,/multimedia/sendung/sendung3148.html
2007-04-13,/multimedia/sendung/sendung3126.html
2007-04-14,/multimedia/sendung/sendung3064.html
2007-04-15,/multimedia/sendung/sendung3084.html
2007-04-16,/multimedia/sendung/sendung3056.html
2007-04-17,/multimedia/sendung/sendung3024.html
2007-04-18,/multimedia/sendung/sendung2992.html
2007-04-19,/multimedia/sendung/sendung2962.html
2007-04-20,/multimedia/sendung/sendung2932.html
2007-04-21,/multimedia/sendung/sendung2908.html
2007-04-22,/multimedia/sendung/sendung2888.html
2007-04-23,/multimedia/sendung/sendung2866.html
2007-04-24,/multimedia/sendung/sendung2844.html
2007-04-25,/multimedia/sendung/sendung2820.html
2007-04-26,/multimedia/sendung/sendung2798.html
2007-04-27,/multimedia/sendung/sendung2776.html
2007-04-28,/multimedia/sendung/sendung2754.html
2007-04-29,/multimedia/sendung/sendung2734.html
2007-04-30,/multimedia/sendung/sendung2704.html
2007-05-01,/multimedia/sendung/sendung2686.html
2007-05-02,/multimedia/sendung/sendung2598.html
2007-05-03,/multimedia/sendung/sendung2628.html
2007-05-04,/multimedia/sendung/sendung2590.html
2007-05-05,/multimedia/sendung/sendung2568.html
2007-05-06,/multimedia/sendung/sendung2548.html
2007-05-07,/multimedia/sendung/sendung2524.html
2007-05-08,/multimedia/sendung/sendung2492.html
2007-05-09,/multimedia/sendung/sendung2478.html
2007-05-10,/multimedia/sendung/sendung2456.html
2007-05-11,/multimedia/sendung/sendung2436.html
2007-05-12,/multimedia/sendung/sendung2412.html
2007-05-13,/multimedia/sendung/sendung2392.html
2007-05-14,/multimedia/sendung/sendung2360.html
2007-05-15,/multimedia/sendung/sendung2330.html
2007-05-16,/multimedia/sendung/sendung2298.html
2007-05-17,/multimedia/sendung/sendung2278.html
2007-05-18,/multimedia/sendung/sendung2248.html
2007-05-19,/multimedia/sendung/sendung2228.html
2007-05-20,/multimedia/sendung/sendung2210.html
2007-05-21,/multimedia/sendung/sendung2188.html
2007-05-22,/multimedia/sendung/sendung2168.html
2007-05-23,/multimedia/sendung/sendung2146.html
2007-05-24,/multimedia/sendung/sendung2122.html
2007-05-25,/multimedia/sendung/sendung2100.html
2007-05-26,/multimedia/sendung/sendung2086.html
2007-05-27,/multimedia/sendung/sendung2066.html
2007-05-28,/multimedia/sendung/sendung2048.html
2007-05-29,/multimedia/sendung/sendung2018.html
2007-05-30,/multimedia/sendung/sendung1988.html
2007-05-31,/multimedia/sendung/sendung1954.html
2007-06-01,/multimedia/sendung/sendung1924.html
2007-06-02,/multimedia/sendung/sendung1904.html
2007-06-03,/multimedia/sendung/sendung1886.html
2007-06-04,/multimedia/sendung/sendung1866.html
2007-06-05,/multimedia/sendung/sendung1844.html
2007-06-06,/multimedia/sendung/sendung1824.html
2007-06-07,/multimedia/sendung/sendung1794.html
